SHA256,paths,size,decision,canonical_path,reason
02b4939e9f2dbfd866e47cdb98cbab37b5b3f31314fd86720fe752512094226b,L796/parameters/L796_step5_best_tuned_parameter_set.json | L796/scripts/L796_step5_best_tuned_parameter_set.json | L796/validation/baseline_v1/L796_step5_best_tuned_parameter_set.json,1351,retain or review in scientific context,L796/scripts/L796_step5_best_tuned_parameter_set.json,Byte identity alone does not prove that experiment-specific context is redundant.
06d255c8a5d7fc13b9b6d23ef9b9ba41605b931973321b6d3726ba82cbd79e49,project3/results/summary/only_PV_inhibition_reduced_population_summary.csv | project3/results/summary/only_PV_inhibition_reduced_projection_output.csv,212,retain or review in scientific context,project3/results/summary/only_PV_inhibition_reduced_projection_output.csv,Byte identity alone does not prove that experiment-specific context is redundant.
07c271e4f41d6e07fa4bf43b5abc666ad11f4a490e5a326d8786962d36cfe332,notes/WEEK1_DELIVERABLE_TRACKER.md | submission_week1/week1/WEEK1_DELIVERABLE_TRACKER.md,1310,remove redundant submission-package copy,notes/WEEK1_DELIVERABLE_TRACKER.md,Byte-identical evidence is retained in its canonical source area.
10d69c8a905cad9f590b8558424e1b753f473cd9c4fdc3f7dbf5c64011f0d366,deliverables/week1/modeldb267056_population_rates.csv | submission_week1/week1/modeldb267056_population_rates.csv,147,remove redundant submission-package copy,deliverables/week1/modeldb267056_population_rates.csv,Byte-identical evidence is retained in its canonical source area.
110450b0565d6c7d43ccae63d73c66b6fd6f418297c744e46d6de6c0ec826f44,notes/WEEK1_PAPER_SUMMARIES_5POINT.md | submission_week1/week1/WEEK1_PAPER_SUMMARIES_5POINT.md,4597,remove redundant submission-package copy,notes/WEEK1_PAPER_SUMMARIES_5POINT.md,Byte-identical evidence is retained in its canonical source area.
12478d4fc18802ac57d47ed4bf8aaaae5c6d7182e187512cd794b4ca9035d997,deliverables/week1/modeldb2018004_mod_inventory.md | submission_week1/week1/modeldb2018004_mod_inventory.md,940,remove redundant submission-package copy,deliverables/week1/modeldb2018004_mod_inventory.md,Byte-identical evidence is retained in its canonical source area.
1abcc0b63e42fa9f3bb27f57cd82bb459159b33f11d7b856bbf33d8773e090dc,L796/morphology/L796-ALT-PN.CNG.swc | L796/validation/baseline_v1/L796-ALT-PN.CNG.swc,169140,retain or review in scientific context,L796/morphology/L796-ALT-PN.CNG.swc,Byte identity alone does not prove that experiment-specific context is redundant.
21c0ddcdcb1d8bfe5222a9886ec5f90975b5cf59d55df2bfc029ace3bcde3bfe,logs/download_dorsal_horn_mouse.log | logs/download_dorsal_horn_rat.log | logs/download_mouse_sensory.log | logs/download_rat_sensory.log | logs/download_rat_spinal.log,28,retain or review in scientific context,logs/download_rat_spinal.log,Byte identity alone does not prove that experiment-specific context is redundant.
21e8776ee4bb7d542eff4e7d9de86dbee2bb380a351bd4e1015fe3f2331a4250,figures/03_SDH_normal_vs_neuropathic_output.png | submission_week1/week1/03_SDH_normal_vs_neuropathic_output.png,279792,remove redundant submission-package copy,figures/03_SDH_normal_vs_neuropathic_output.png,Byte-identical evidence is retained in its canonical source area.
2210b238d5e219e51364bd9c25df34b00e2f687cba80053a124b27b47eba2c98,L796/scripts/L796_step5_best_traces/best_I_0pA.dat | L796/traces/step5_best_traces/best_I_0pA.dat,1219658,remove generated script-output copy,L796/traces/step5_best_traces/best_I_0pA.dat,"Canonical trace belongs under traces/, not scripts/."
