current_path,file_type,size_bytes,sha256,model_cell,scientific_purpose,decision,reason,destination_if_moved
.gitignore,project metadata/other,284,8235580a1967f2eb7e8cb1ccf69a4738dd7f7405949ceed0066cf3c0bfeece05,legacy/shared project,Project metadata or historical artifact,keep/update,Canonical repository metadata,.gitignore
L796/.gitignore,project metadata/other,196,823cb519610b693d149dd784e1318d5eb3f4823119c10adb836ae6654892b3d7,L796-ALT-PN,Project metadata or historical artifact,move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/.gitignore
L796/README.md,report/documentation,1181,002f4e29f434e2890b776a875979f80c86a74cbe1cfc9bac619e486c476b94a1,L796-ALT-PN,"Scientific interpretation, provenance, or run documentation",move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/README.md
L796/build_L796_html_report.py,Python source,13517,0c6d28ac34b96aae50fa48f7e17cce0acde33a0f6c2d26b3092ce280807d9d1e,L796-ALT-PN,"Simulation, analysis, extraction, or validation workflow",move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/build_L796_html_report.py
L796/environment.yml,environment/reproducibility,150,2b979cf940e58279d02bbe35485fdc5252322576186ea81954fc2e960f13a361,L796-ALT-PN,Software environment or build metadata,move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/environment.yml
L796/figures/ablation_iNaP_iCaL/L796_iNaP_iCaL_ablation_40pA_traces.png,figure,150847,f5146c5dc88027d1e96470c52e377e373be85889763a2432998552ff926a756b,L796-ALT-PN,"Visualization of morphology, simulation, or validation output",move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/figures/ablation_iNaP_iCaL/L796_iNaP_iCaL_ablation_40pA_traces.png
L796/figures/ablation_iNaP_iCaL/L796_iNaP_iCaL_ablation_FI_curves.png,figure,108590,50a550fb0c3fd2f4e665e3e3905ade3c792d3c2751845f9e69068c52a0ebf58b,L796-ALT-PN,"Visualization of morphology, simulation, or validation output",move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/figures/ablation_iNaP_iCaL/L796_iNaP_iCaL_ablation_FI_curves.png
L796/figures/ap_features/L796_step5_first_spike_latency.png,figure,121139,55b1e748db27bce3ddb3711e7c85aeb747e02f168884a24d51d3028d939dc595,L796-ALT-PN,"Visualization of morphology, simulation, or validation output",move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/figures/ap_features/L796_step5_first_spike_latency.png
L796/figures/ap_features/L796_step5_somatic_AP_peak.png,figure,123814,604d7f3b68c4e1459717ea18d3e5130a1be53fdfb37b793153d77342c3073544,L796-ALT-PN,"Visualization of morphology, simulation, or validation output",move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/figures/ap_features/L796_step5_somatic_AP_peak.png
L796/figures/ap_features/L796_step5_somatic_FI_curve_from_features.png,figure,111130,9729f998300f5526e7aac2448c8722cde70802933d7ce9055b6a6c657e6afd95,L796-ALT-PN,"Visualization of morphology, simulation, or validation output",move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/figures/ap_features/L796_step5_somatic_FI_curve_from_features.png
L796/figures/final_model/L796_final_before_after_AP_overlay.png,figure,315654,c4fb7c32a8273eb6fcaa994e807f07814d67b9fc05cafb465af9a7f169dc04a5,L796-ALT-PN,"Visualization of morphology, simulation, or validation output",move,Consolidate the projection-neuron model without changing scientific content,cells/L796_projection_neuron/figures/final_model/L796_final_before_after_AP_overlay.png
