"channel_or_receptor","class","biological_role","best_evidence_level","evidence_basis","recommended_status","priority_0_to_10","implementation_difficulty","initial_location","fit_or_validation_feature","decision_rule","primary_sources"
"Passive leak","Passive","Resting potential, input resistance, time constant, integration","A/B","Exact morphology plus same-dataset PN passive physiology","Core","10","Low-medium","Soma; dendrites; AIS/axon","RMP; Rin; tau; subthreshold I-V; attenuation","Always include; do not infer molecular leak subtype from transcript alone","https://neuromorpho.org/neuron_info.jsp?neuron_name=L796-ALT-PN; https://pmc.ncbi.nlm.nih.gov/articles/PMC3979609/"
"Fast transient Na","Voltage-gated","AP initiation and propagation","B","Rat dorsal-horn neurons show axon/AIS-dominant fast Na and spike initiation","Core","10","Medium","AIS/axon high; soma lower; dendrites conditional","Threshold; max dV/dt; amplitude; overshoot; propagation","Always include for a spiking model; exact NaV alpha subtype remains unresolved","https://pmc.ncbi.nlm.nih.gov/articles/PMC1159869/"
"Delayed-rectifier K","Voltage-gated","AP repolarization and repetitive firing","B/D","Required functional partner of NaT; exact PN Kv subtype not resolved","Core","10","Medium","AIS/axon and soma","Half-width; repolarization; f-I; depolarization block","Always include; fit jointly with NaT","https://pmc.ncbi.nlm.nih.gov/articles/PMC1664848/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3979609/"
"A-type K","Voltage-gated","First-spike delay and gap firing","B","Gap firing in identified rat lamina-I PNs has A-current properties","Conditional-high","8","Medium","Soma/proximal dendrite initially","First-spike latency; first ISI; prepulse dependence; 4-AP sensitivity","Add if target trace has gap/delay that NaT+KDR cannot reproduce","https://pmc.ncbi.nlm.nih.gov/articles/PMC1664848/"
"T-type Ca","Voltage-gated calcium","Low-threshold burst, rebound, EPSP boost, afterdepolarization","B/C","Low-threshold Ca current in bursting identified PNs; LVA current in 27/34 adult rat lamina-I neurons","Conditional-high","7","High","Soma and dendrites","LVA I-V; burst threshold; rebound; afterdepolarization; Z944/Ni sensitivity","Add only for measured low-threshold burst/rebound/current","https://pmc.ncbi.nlm.nih.gov/articles/PMC1664848/; https://pubmed.ncbi.nlm.nih.gov/33871884/"
"N-type Ca","Voltage-gated calcium","HVA Ca entry and transmitter release","B/C","N current identified in labelled rat spinothalamic/trigeminothalamic cells","Conditional","5","High","Soma/dendrites; modeled terminals","Ca-current I-V; blocker response; Ca transient; release","Add when calcium or presynaptic release is explicitly modeled","https://pubmed.ncbi.nlm.nih.gov/2482353/; https://pubmed.ncbi.nlm.nih.gov/32341097/"
"L-type Ca","Voltage-gated calcium","Sustained Ca entry and possible plateau","B/C","L current identified in labelled ascending dorsal-horn cells; no exact L796 plateau evidence","Conditional-low","4","High","Soma/dendrites","Nimodipine-sensitive current; plateau; Ca transient","Do not add unless a sustained Ca/plateau target exists","https://pubmed.ncbi.nlm.nih.gov/2482353/"
"P/Q/R-type Ca","Voltage-gated calcium","HVA Ca entry, especially terminal release","C/D","Plausible spinal-neuron currents but not resolved for exact L796","Later","3","High","Axon terminals or dendrites if measured","Subtype-blocker current; release probability","Add only with subtype-specific evidence or explicit terminal model","https://pubmed.ncbi.nlm.nih.gov/32341097/"
"Intracellular calcium dynamics","Calcium handling","Buffers, extrusion, accumulation and store release","C","AP-evoked Ca enters rat lamina-I soma/dendrites; ryanodine stores amplify responses","Conditional","6","High","All compartments with Ca/KCa","Baseline Ca; peak; decay; train accumulation","Required when fitting Ca imaging, KCa, or Ca-dependent plasticity","https://pubmed.ncbi.nlm.nih.gov/32341097/"
"SK-type KCa","Calcium-activated K","Medium AHP and adaptation","D","Biophysically plausible; no direct L796 apamin evidence found","Conditional","5","High","Soma/proximal dendrite","AHP decay; adaptation; apamin-sensitive current","Add only if Ca-coupled medium AHP/adaptation remains missing",""
