name,class,priority,current_status,parameter_used,reason,source
Passive leak,Passive,10,ALREADY_PRESENT,"e_pas=-72.8 mV, g_pas=3.7855e-6 S/cm2 (fitted to Luz 2014 Rin)",Core (priority 10); fitted from the same-dataset PN passive physiology target.,NeuroMorpho L796-ALT-PN; Luz 2014 (PMC3979609)
Fast transient Na,Voltage-gated Na,10,ALREADY_PRESENT,"B_Na: AIS scale x1.45 (base 3.45 S/cm2), soma+proximal dend 0.04 S/cm2",Core (priority 10); AIS/axon-dominant + somatic/proximal-dendrite addition to fix the electrotonic-echo defect found during single-cell validation.,Rat dorsal-horn AIS-dominant fast Na (PMC1159869)
Delayed-rectifier K,Voltage-gated K,10,ALREADY_PRESENT,"KDR: AIS base 0.076 S/cm2, soma base 0.001075 S/cm2, dend base 0.036 S/cm2, all x2.0 scale",Core (priority 10); fitted jointly with NaT for AP repolarization/half-width.,PMC1664848; PMC3979609
AMPA,Ligand-gated,10,ALREADY_PRESENT,"AMPA_DynSyn: tau_rise=0.5 ms, tau_decay=2.5 ms, e=0 mV; weight calibrated to ~2 mV unitary EPSP",Core for synapses (priority 10).,PMC1464766
NMDA,Ligand-gated,9,ALREADY_PRESENT,"NMDA_DynSyn: tau_rise=5 ms, tau_decay=70 ms, e=0 mV, Jahr&Stevens Mg-block; NMDA:AMPA weight ratio 0.5",Core for pain-circuit synapses (priority 9).,PMC1464766; PMC3923208
GABA_A,Ligand-gated,9,ALREADY_PRESENT,"GABAa_DynSyn: tau_rise=1 ms, tau_decay=20 ms; weight calibrated to ~2 mV IPSP",Core for inhibitory circuit (priority 9).,PMC1464766; PMC6782499
Glycine receptor,Ligand-gated,9,ALREADY_PRESENT,"Glycine_DynSyn: tau_rise=1 ms, tau_decay=10 ms; weight calibrated to ~2 mV IPSP",Core for inhibitory circuit (priority 9).,PMC1464766; PMC6782499
Intracellular calcium dynamics,Calcium handling,6,ALREADY_PRESENT,CaIntraCellDyn inserted alongside iCaL/iCaAN/iKCa in soma and dendrites,"Required when fitting KCa/Ca-dependent currents (priority 6); already required as a dependency of iKCa/iCaL/iCaAN, which were carried over from the base model.",PMC/32341097
KCC2/SLC12A5,Chloride transporter,9,ALREADY_PRESENT,Two validated chloride states: ECl=-70 mV (control) and ECl=-55 mV (neuropathic),Decision rule: 'at minimum implement two validated chloride states; dynamic transporter optional.' Satisfied by the normal-vs-neuropathic ECl states already implemented in Part 2 (script 15); no dynamic KCC2 transporter model added.,Coull et al 2003 (PMID 12931188)
A-type K,Voltage-gated K,8,EVALUATED,"B_A: gkbar=0 S/cm2 (evaluated, not added)","Grid search over [0.0, 0.005, 0.01, 0.02, 0.04] S/cm2 found density=0 gives the longest (or tied-longest) first-spike latency among candidates passing the no-regression check -- NaT+KDR alone already reproduce the delayed-onset phenotype within bounds, so A-type K is kept at zero density and documented per its own decision rule, not added as a nonzero conductance.",PMC1664848
NK1/TACR1,Metabotropic receptor,8,ADDED_NOW,"NK1_DynSyn at soma(0.5): weight=0.1000 nS (calibrated for ~4.0 mV depolarization, achieved 7.42 mV); tau_rise=10 ms, tau_decay=5000 ms (mechanism defaults); e=0 mV",ASSUMPTION: L796 treated as NK1-positive. Weight calibrated to a modest ~4.0 mV slow depolarization (7.42 mV achieved). Rheobase without SP input: 30 pA; with SP input: 25 pA -- SP/NK1 activation lowers rheobase / promotes firing; setting weight=0 (antagonist analogy) removes the depolarization entirely.,PMC6757649
