path,cell_model,purpose,SHA256,size_bytes,status,source_generated,current_historical
.gitignore,legacy/shared project,Project metadata or historical artifact,3171e56f26b4e70359a2abf895e8e68efceadbc64604dd1d195c20b0dc7c1ffc,486,retained,source,current/supporting
archive/L796/historical_audits/channel_receptor_audit_L796_and_excit_interneuron.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",bfbccd59f1997650648d4812e99f1517cc59572d7dc9aeae55224526f6c939c8,34319,retained archive,source,historical
archive/L796/historical_audits/channel_receptor_priority_table.csv,archived scientific history,Raw or summarized evidence for a model result,1b71bf82b4196ce4e5552e4dceb1e82429c12d43679bf74e6b2ac877a2792c9c,6690,retained archive,generated,historical
archive/L796/historical_scripts/L796_step5_1sec_sweep_fixed_1000ms_historical.py,archived scientific history,"Simulation, analysis, extraction, or validation workflow",f563f2cfe6fefafa3c31c29aa72178f44664cda3a22cf220d3fa11d88fdbf0d7,26545,retained archive,source,historical
archive/L796/README.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",fd9e500e34b90b1d8194840a951ead997e407ca960a4a343f78aa97b0984f17d,509,retained archive,source,historical
archive/other_exploratory_models/early_project_work/deliverables/advanced/GABA_disinhibition_sweep.csv,archived scientific history,Raw or summarized evidence for a model result,4276600b797ed4efd3bc9baa17163d516fb2d3be7471c3a37ffba0e50141d32b,317,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/advanced/GABA_disinhibition_sweep.png,archived scientific history,"Visualization of morphology, simulation, or validation output",541d4ae94d50fb0b7a4941018c37714da65eed99fcc8d3e425fd3962e200238e,111600,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb2018004_AP_parameters.csv,archived scientific history,Raw or summarized evidence for a model result,ed32c056b1362f9aa37cfd95b88f220501a6688e1dfa480a2428afe5a1a1e830,291,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb2018004_AP_trace_with_parameters.png,archived scientific history,"Visualization of morphology, simulation, or validation output",4be74a2b9f13ce3af1745910a40a7c26d9345f8312898a01c8c05734c9e5e30c,130852,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb2018004_mod_inventory.csv,archived scientific history,Raw or summarized evidence for a model result,b36576d3f20c20490adb433cf0bd965aba436ad8122db0d997a287283113d354,539,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb2018004_mod_inventory.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",12478d4fc18802ac57d47ed4bf8aaaae5c6d7182e187512cd794b4ca9035d997,940,retained archive,source,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb2018004_section_summary.csv,archived scientific history,Raw or summarized evidence for a model result,5d62d99458292cb6d4aa353190a9373ec2a9b2350c1e638ca6abd7b5199e3506,18815,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb2018004_soma_voltage_trace.csv,archived scientific history,Raw or summarized evidence for a model result,2dfdbaa79afdc8cf8c94c20488fc9ed46414fc63ad527d684c52c44c80eee3a6,61224,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb2018004_soma_voltage_trace.png,archived scientific history,"Visualization of morphology, simulation, or validation output",b97d2b548e9968e0b0b5d5493511754524539082c0fc06e8e61858bd2469124d,107581,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb267056_cell_rates.csv,archived scientific history,Raw or summarized evidence for a model result,8154a4bfd4ddbbda6d706b3f152ace98106ef2b77ef674fc11b921c4445e09cf,19776,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb267056_population_rates.csv,archived scientific history,Raw or summarized evidence for a model result,10d69c8a905cad9f590b8558424e1b753f473cd9c4fdc3f7dbf5c64011f0d366,147,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb267056_summary.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",b18eb8ac250798bf86cea7e81688c5650118c8cc2daf9157c5c1992303dd4f62,853,retained archive,source,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/modeldb267056_tonic_firing.png,archived scientific history,"Visualization of morphology, simulation, or validation output",c935a3b1c38575a7a6d1b652e03dbfec092cd48d55ec5237e93110dd8d5351cc,371318,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/morphology_decision.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",cbc86d83899a166d0d90e3066d9d3cbfdf9164c2c44218cd8d34f45004f5013e,796,retained archive,source,historical
