feature,target,unit,source,confidence,note
AMPA_tau_rise,0.5,ms,"Generic central glutamatergic AMPA kinetics (e.g. Jonas 1993; standard dorsal-horn modeling range)",MEDIUM,Not measured in L796 specifically; representative fast AMPA rise time used across spinal cord models
AMPA_tau_decay,2.5,ms,"Generic central glutamatergic AMPA kinetics",MEDIUM,Within literature-cited 2-3 ms decay range; AMPA_DynSyn.mod default (5.0 ms) was shortened to match
AMPA_reversal,0,mV,"Standard non-selective cation reversal for AMPA-type glutamate receptors",HIGH,Matches AMPA_DynSyn.mod default (e=0 mV); essentially fixed by ionic selectivity, not tissue-specific
NMDA_tau_rise,5.0,ms,"NMDA_DynSyn.mod default (Aguiar/Sousa 2008, ModelDB 267056)",MEDIUM,Kept at mechanism default; within typical NMDA rise-time range
NMDA_tau_decay,70,ms,"NMDA_DynSyn.mod default; within literature 50-100 ms decay range",MEDIUM,Kept at mechanism default
NMDA_reversal,0,mV,"Standard non-selective cation reversal for NMDA receptors",HIGH,Matches NMDA_DynSyn.mod default
NMDA_Mg_block,Jahr and Stevens 1990 equation; mgo=1.0 mM,mM,"Jahr CE, Stevens CF (1990) J Neurosci; NMDA_DynSyn.mod mgblock() function",HIGH,Implemented mechanism uses the published voltage-dependent Mg2+ block equation directly; not a proxy
GABAA_tau_rise,1.0,ms,"GABAa_DynSyn.mod default (Aguiar/Sousa 2008)",MEDIUM,Kept at mechanism default
GABAA_tau_decay,20.0,ms,"GABAa_DynSyn.mod default",MEDIUM,Kept at mechanism default; slower than glycine per task specification
GABAA_reversal_control,-70,mV,"Coull JA et al (2003) Nature 424:938-942 -- control-condition ECl set to match KCC2-intact dorsal horn neurons",MEDIUM,GABAa_DynSyn.mod default reversal (-80 mV) overridden to -70 mV per task instruction for the control condition
Glycine_tau_rise,1.0,ms,"Glycine_DynSyn.mod default (Foreman 1976; Moore et al 2002, cited in mod file header)",MEDIUM,Kept at mechanism default
Glycine_tau_decay,10.0,ms,"Glycine_DynSyn.mod default",MEDIUM,Kept at mechanism default; faster than GABA-A per task specification, consistent with mechanism defaults
Glycine_reversal_control,-70,mV,"Glycine_DynSyn.mod default; shared chloride reversal with GABA-A",HIGH,Matches mechanism default exactly
unitary_EPSP_amplitude,0.5-5,mV,"Generic physiological unitary EPSP range used across central-synapse modeling studies",ASSUMPTION,Not measured for L796; AMPA/NMDA weights tuned phenomenologically to land in this range
unitary_IPSP_amplitude,0.5-5,mV,"Generic physiological unitary IPSP range (mirrors EPSP convention)",ASSUMPTION,Not measured for L796; GABA-A/glycine weights tuned phenomenologically to land in this range
nAChR_alpha4beta2_tau_rise,1,ms,"Documented phenomenological proxy (Exp2Syn), not a validated nAChR kinetic model",ASSUMPTION,"alpha4beta2-like: slower decay than alpha7; consistent with prior L360 project convention (h.Exp2Syn used as nAChR-like proxy)"
nAChR_alpha4beta2_tau_decay,30,ms,"Documented phenomenological proxy (Exp2Syn)",ASSUMPTION,Within task-specified 20-40 ms decay range for alpha4beta2-like nAChR
nAChR_alpha7_tau_decay,5,ms,"Documented phenomenological proxy (Exp2Syn), alternative fast alpha7-like kinetics",ASSUMPTION,Not used as the primary receptor in this pass; noted as an alternative parameter set
nAChR_reversal,0,mV,"Non-selective cation reversal typical of nAChR channels",MEDIUM,Reversal itself is well-established for nAChR as a cation channel; the kinetics (not the reversal) are the proxy part
nAChR_biology_caveat,"predominantly presynaptic / on inhibitory interneurons, not postsynaptic on projection neurons",n/a,"Recognized dorsal-horn cholinergic pharmacology (e.g. reviews of spinal cholinergic analgesia)",MEDIUM,"Placing nAChR directly on L796 soma/dendrite is a simplification; does not reproduce the in-vivo antinociceptive circuit"
P2X_receptor,not implemented,n/a,"P2X3/P2X4 -- ATP-gated cation channels; Tsuda M et al (2003) Nature; Trang T et al (2012) -- microglia-BDNF-KCC2 axis in neuropathic pain",HIGH (relevance) / n/a (implementation),No vetted P2X .mod file available in external/SDHmodel/mods; deferred to future work rather than faked
5HT3_receptor,not implemented,n/a,"5-HT3 -- serotonin-gated cation channel; descending facilitation in neuropathic pain (e.g. Suzuki R et al 2004 Nat Neurosci)",HIGH (relevance) / n/a (implementation),No vetted 5-HT3 .mod file available in external/SDHmodel/mods; deferred to future work rather than faked
neuropathic_AMPA_NMDA_increase,central sensitization increases AMPA/NMDA synaptic strength,qualitative direction,"Latremoliere A, Woolf CJ (2009) J Pain 10:895-926",MEDIUM (direction) / ASSUMPTION (magnitude),Direction is well-cited; specific fold-increase used in the neuropathic manipulation is a modeling assumption
neuropathic_GABA_glycine_decrease,disinhibition reduces GABA-A/glycine synaptic strength,qualitative direction,"Coull JA, Boudreau D, Bachand K, Prescott SA, Nault F, Sik A, De Koninck P, De Koninck Y (2003) Nature 424:938-942",MEDIUM (direction) / ASSUMPTION (magnitude),Direction is well-cited (spinal nerve injury reduces KCC2, disinhibits lamina I neurons); specific fold-decrease is a modeling assumption
neuropathic_ECl_shift,ECl depolarizes from about -70 mV toward about -55 mV after KCC2 downregulation,mV,"Coull JA et al (2003) Nature 424:938-942",MEDIUM (direction) / ASSUMPTION (exact magnitude),"Direction (depolarizing shift) and the qualitative KCC2 mechanism are literature-supported; the exact -55 mV endpoint used here is an assumed magnitude within the plausible range reported across studies"
