"channel/receptor","biological role","why it matters for L796 or excitatory interneuron","evidence type needed","current project status: present/available/missing","priority score from 0 to 10","implementation difficulty","validation feature"
"Leak/passive","Sets resting membrane potential, input resistance, and membrane time constant","Foundation for both L796 and the interneuron and for all synaptic integration","Same-preparation passive electrophysiology plus morphology-aware fitting","missing from checkout; NEURON pas may exist at runtime but insertion is not demonstrated","10","Low-medium","RMP; input resistance; membrane time constant; subthreshold I-V"
"Fast Na+","Regenerative action-potential initiation and propagation","Required for spiking; dorsal-horn data support axon/AIS-dominant spike initiation","AP waveform and threshold data plus dorsal-horn/AIS evidence and a tested MOD","missing from checkout; standard hh may exist at runtime but insertion is not demonstrated","10","Medium","AP threshold; dV/dt; amplitude; overshoot; propagation"
"Delayed-rectifier K+","Action-potential repolarization and repetitive firing","Required for stable spike trains in both cells","AP waveform and f-I electrophysiology plus a tested MOD","missing from checkout; standard hh may exist at runtime but insertion is not demonstrated","10","Medium","AP half-width; repolarization; f-I curve; depolarization block"
"A-type K+","Produces first-spike delay or a long first interspike interval","Directly relevant to delayed/gap lamina I firing and a Tac1/SP radial delayed phenotype","Holding-potential-dependent delay plus A-current or 4-AP evidence","missing from checkout","8","Medium","First-spike latency; first ISI; pre-pulse dependence"
"Persistent Na+","Subthreshold amplification, plateau support, and sustained firing","May support tonic or spontaneous firing but can cause non-physiological hyperexcitability","Ramp/PIC or riluzole-sensitive evidence and a failed simpler model","missing from checkout","6","Medium-high","Rheobase; plateau duration; f-I; spontaneous firing"
"CaT","Low-threshold calcium current supporting rebound, burst, and AP hump","Supported in subsets of lamina I projection neurons but phenotype dependent","Voltage-clamp or rebound/burst/AP-hump electrophysiology","missing from checkout","6","High","Rebound; burst threshold; AP falling-phase hump; half-width"
"CaL","High-threshold calcium influx and possible plateau support","Useful only if sustained calcium, plateau, or burst behaviour is an explicit target","Pharmacology or calcium imaging plus failure of a simpler channel set","missing from checkout","3","High","Plateau duration; calcium transient; burst structure"
"Generic KCa","Unspecified calcium-dependent outward current","An unnamed KCa mechanism obscures whether fast or medium AHP biology is intended","AHP pharmacology and evidence for a named SK or BK subtype","missing from checkout","2","High","AHP depth and kinetics; adaptation"
"SK-type KCa","Medium AHP, adaptation, and burst termination","Could correct L796 or interneuron AHP/adaptation after calcium is explicitly modeled","Apamin-sensitive AHP or strong target-cell evidence","missing from checkout","5","High","Medium AHP; adaptation ratio; burst termination"
"BK-type KCa","Fast AHP and spike repolarization","Could correct broad spikes or a weak fast AHP","BK-blocker-sensitive waveform evidence","missing from checkout","5","High","Fast AHP; AP half-width; maximum firing rate"
"HCN/Ih","Hyperpolarization-activated inward current causing sag/rebound and affecting resting conductance","Useful only if measured sag or rebound is underfit","Sag plus HCN-blocker or target-phenotype evidence","missing from checkout","3","Medium","Sag ratio; rebound; input resistance"
"M-current/KCNQ","Slow outward current controlling adaptation and phasic firing","Useful only if slow adaptation cannot be matched with the core set","XE991/retigabine evidence or a strong target firing feature","missing from checkout","3","Medium","Adaptation; rheobase; long-pulse firing"
"Intracellular calcium dynamics","Converts calcium entry into a concentration state for calcium-dependent mechanisms","Needed for SK/BK, calcium traces, peptide release, or plasticity experiments","Calcium transient kinetics and explicit buffering/pump assumptions","missing from checkout","5","High","Peak and decay of intracellular calcium; AHP coupling"
"AMPA","Fast ionotropic glutamatergic excitation","First receptor for excitatory-interneuron to L796 coupling","EPSC/EPSP kinetics, reversal potential, and connection-strength data","missing from checkout; generic Exp2Syn may exist at runtime but no receptor is instantiated","10","Medium","EPSC/EPSP amplitude; rise/decay; reversal; summation"
"NMDA","Slow voltage- and magnesium-dependent glutamatergic excitation","Important for temporal integration, strong nociceptive drive, and plasticity","NMDA component, magnesium dependence, and temporal-integration data","missing from checkout","8","High","I-V relation; slow EPSP; train summation; plateau"
"NK1/TACR1","Metabotropic receptor for Substance P","Pain-relevant only if postsynaptic TACR1/NK1 is supported for the target neuron","TACR1/NK1 or Substance-P response evidence plus slow-current data","missing from checkout","7","High","Substance-P-evoked slow current or depolarization; excitability shift"
"GABA_A","Fast or tonic chloride-mediated inhibition","Needed for inhibitory gating experiments in the dorsal horn","IPSC kinetics, reversal potential, chloride-homeostasis assumptions","missing from checkout","7","Medium","IPSC/IPSP amplitude; decay; reversal potential"
"GABA_B","Slow postsynaptic GIRK activation and presynaptic release inhibition","Relevant to slow modulation but not required for the minimal first-pass circuit","Baclofen-sensitive postsynaptic or presynaptic effect","missing from checkout","5","High","Slow outward current; membrane resistance; event-frequency reduction"
"Glycine","Fast chloride-mediated inhibition","Strong direct relevance to fast inhibition of lamina I neurons","GlyR IPSC kinetics, reversal potential, and connection data","missing from checkout","8","Medium","Fast IPSC/IPSP amplitude; decay; reversal potential"
"Tac1/Substance P output","Neuropeptide marker and presynaptic release signal; not an ion channel","Conditional output for a verified Tac1/SP excitatory interneuron; selected morphology is GRP-expressing","Presynaptic Tac1/SP identity plus postsynaptic TACR1/NK1 response","missing; selected future morphology is GRP-expressing rather than Tac1/SP","7","High","Frequency-dependent slow Substance-P effect"
